order_id,journey_id,conversion_at,conversion_date,revenue,currency,order_status,reporting_timezone,synthetic,source_row_id
SS-O0043,SS-J0043,2026-09-07T10:00:00.000Z,2026-09-07,200,USD,completed,Africa/Nairobi,true,orders-0043
SS-O0044,SS-J0044,2026-09-08T10:00:00.000Z,2026-09-08,200,USD,completed,Africa/Nairobi,true,orders-0044
SS-O0045,SS-J0045,2026-09-09T10:00:00.000Z,2026-09-09,200,USD,completed,Africa/Nairobi,true,orders-0045
SS-O0046,SS-J0046,2026-09-10T10:00:00.000Z,2026-09-10,200,USD,completed,Africa/Nairobi,true,orders-0046
SS-O0047,SS-J0047,2026-09-11T10:00:00.000Z,2026-09-11,200,USD,completed,Africa/Nairobi,true,orders-0047
SS-O0048,SS-J0048,2026-09-12T10:00:00.000Z,2026-09-12,200,USD,completed,Africa/Nairobi,true,orders-0048
SS-O0049,SS-J0049,2026-09-13T10:00:00.000Z,2026-09-13,200,USD,completed,Africa/Nairobi,true,orders-0049
SS-O0050,SS-J0050,2026-09-14T10:00:00.000Z,2026-09-14,200,USD,completed,Africa/Nairobi,true,orders-0050
SS-O0051,SS-J0051,2026-09-15T10:00:00.000Z,2026-09-15,200,USD,completed,Africa/Nairobi,true,orders-0051
SS-O0052,SS-J0052,2026-09-16T10:00:00.000Z,2026-09-16,200,USD,completed,Africa/Nairobi,true,orders-0052
SS-O0053,SS-J0053,2026-09-17T10:00:00.000Z,2026-09-17,200,USD,completed,Africa/Nairobi,true,orders-0053
SS-O0054,SS-J0054,2026-09-18T10:00:00.000Z,2026-09-18,200,USD,completed,Africa/Nairobi,true,orders-0054
SS-O0055,SS-J0055,2026-09-19T10:00:00.000Z,2026-09-19,200,USD,completed,Africa/Nairobi,true,orders-0055
SS-O0056,SS-J0056,2026-09-20T10:00:00.000Z,2026-09-20,200,USD,completed,Africa/Nairobi,true,orders-0056
SS-O0057,SS-J0057,2026-08-24T11:00:00.000Z,2026-08-24,200,USD,completed,Africa/Nairobi,true,orders-0057
SS-O0058,SS-J0058,2026-08-25T11:00:00.000Z,2026-08-25,200,USD,completed,Africa/Nairobi,true,orders-0058
SS-O0059,SS-J0059,2026-08-26T11:00:00.000Z,2026-08-26,200,USD,completed,Africa/Nairobi,true,orders-0059
SS-O0060,SS-J0060,2026-08-27T11:00:00.000Z,2026-08-27,200,USD,completed,Africa/Nairobi,true,orders-0060
SS-O0061,SS-J0061,2026-08-28T11:00:00.000Z,2026-08-28,200,USD,completed,Africa/Nairobi,true,orders-0061
SS-O0062,SS-J0062,2026-08-29T11:00:00.000Z,2026-08-29,200,USD,completed,Africa/Nairobi,true,orders-0062
SS-O0063,SS-J0063,2026-08-30T11:00:00.000Z,2026-08-30,200,USD,completed,Africa/Nairobi,true,orders-0063
SS-O0064,SS-J0064,2026-08-31T11:00:00.000Z,2026-08-31,200,USD,completed,Africa/Nairobi,true,orders-0064
SS-O0065,SS-J0065,2026-09-01T11:00:00.000Z,2026-09-01,200,USD,completed,Africa/Nairobi,true,orders-0065
SS-O0066,SS-J0066,2026-09-02T11:00:00.000Z,2026-09-02,200,USD,completed,Africa/Nairobi,true,orders-0066
SS-O0067,SS-J0067,2026-09-03T11:00:00.000Z,2026-09-03,200,USD,completed,Africa/Nairobi,true,orders-0067
SS-O0068,SS-J0068,2026-09-04T11:00:00.000Z,2026-09-04,200,USD,completed,Africa/Nairobi,true,orders-0068
SS-O0069,SS-J0069,2026-09-05T11:00:00.000Z,2026-09-05,200,USD,completed,Africa/Nairobi,true,orders-0069
SS-O0070,SS-J0070,2026-09-06T11:00:00.000Z,2026-09-06,200,USD,completed,Africa/Nairobi,true,orders-0070
SS-O0071,SS-J0071,2026-09-07T11:00:00.000Z,2026-09-07,200,USD,completed,Africa/Nairobi,true,orders-0071
SS-O0072,SS-J0072,2026-09-08T11:00:00.000Z,2026-09-08,200,USD,completed,Africa/Nairobi,true,orders-0072
SS-O0073,SS-J0073,2026-09-09T11:00:00.000Z,2026-09-09,200,USD,completed,Africa/Nairobi,true,orders-0073
SS-O0074,SS-J0074,2026-09-10T11:00:00.000Z,2026-09-10,200,USD,completed,Africa/Nairobi,true,orders-0074
SS-O0075,SS-J0075,2026-09-11T11:00:00.000Z,2026-09-11,200,USD,completed,Africa/Nairobi,true,orders-0075
SS-O0076,SS-J0076,2026-09-12T11:00:00.000Z,2026-09-12,200,USD,completed,Africa/Nairobi,true,orders-0076
SS-O0077,SS-J0077,2026-09-13T11:00:00.000Z,2026-09-13,200,USD,completed,Africa/Nairobi,true,orders-0077
SS-O0078,SS-J0078,2026-09-14T11:00:00.000Z,2026-09-14,200,USD,completed,Africa/Nairobi,true,orders-0078
SS-O0079,SS-J0079,2026-09-15T11:00:00.000Z,2026-09-15,200,USD,completed,Africa/Nairobi,true,orders-0079
SS-O0080,SS-J0080,2026-09-16T11:00:00.000Z,2026-09-16,200,USD,completed,Africa/Nairobi,true,orders-0080
SS-O0081,SS-J0081,2026-09-17T11:00:00.000Z,2026-09-17,200,USD,completed,Africa/Nairobi,true,orders-0081
SS-O0082,SS-J0082,2026-09-18T11:00:00.000Z,2026-09-18,200,USD,completed,Africa/Nairobi,true,orders-0082
SS-O0083,SS-J0083,2026-09-19T11:00:00.000Z,2026-09-19,200,USD,completed,Africa/Nairobi,true,orders-0083
SS-O0084,SS-J0084,2026-09-20T11:00:00.000Z,2026-09-20,200,USD,completed,Africa/Nairobi,true,orders-0084
SS-O0085,SS-J0085,2026-08-24T12:00:00.000Z,2026-08-24,200,USD,completed,Africa/Nairobi,true,orders-0085
SS-O0086,SS-J0086,2026-08-25T12:00:00.000Z,2026-08-25,200,USD,completed,Africa/Nairobi,true,orders-0086
SS-O0087,SS-J0087,2026-08-26T12:00:00.000Z,2026-08-26,200,USD,completed,Africa/Nairobi,true,orders-0087
SS-O0088,SS-J0088,2026-08-27T12:00:00.000Z,2026-08-27,200,USD,completed,Africa/Nairobi,true,orders-0088
SS-O0089,SS-J0089,2026-08-28T12:00:00.000Z,2026-08-28,200,USD,completed,Africa/Nairobi,true,orders-0089
SS-O0090,SS-J0090,2026-08-29T12:00:00.000Z,2026-08-29,200,USD,completed,Africa/Nairobi,true,orders-0090
SS-O0091,SS-J0091,2026-08-30T12:00:00.000Z,2026-08-30,200,USD,completed,Africa/Nairobi,true,orders-0091
SS-O0092,SS-J0092,2026-08-31T12:00:00.000Z,2026-08-31,200,USD,completed,Africa/Nairobi,true,orders-0092
SS-O0093,SS-J0093,2026-09-01T12:00:00.000Z,2026-09-01,200,USD,completed,Africa/Nairobi,true,orders-0093
SS-O0094,SS-J0094,2026-09-02T12:00:00.000Z,2026-09-02,200,USD,completed,Africa/Nairobi,true,orders-0094
SS-O0095,SS-J0095,2026-09-03T12:00:00.000Z,2026-09-03,200,USD,completed,Africa/Nairobi,true,orders-0095
SS-O0096,SS-J0096,2026-09-04T12:00:00.000Z,2026-09-04,200,USD,completed,Africa/Nairobi,true,orders-0096
SS-O0097,SS-J0097,2026-09-05T12:00:00.000Z,2026-09-05,200,USD,completed,Africa/Nairobi,true,orders-0097
SS-O0098,SS-J0098,2026-09-06T12:00:00.000Z,2026-09-06,200,USD,completed,Africa/Nairobi,true,orders-0098
SS-O0099,SS-J0099,2026-09-07T12:00:00.000Z,2026-09-07,200,USD,completed,Africa/Nairobi,true,orders-0099
SS-O0100,SS-J0100,2026-09-08T12:00:00.000Z,2026-09-08,200,USD,completed,Africa/Nairobi,true,orders-0100
SS-O0101,SS-J0101,2026-09-09T12:00:00.000Z,2026-09-09,200,USD,completed,Africa/Nairobi,true,orders-0101
SS-O0102,SS-J0102,2026-09-10T12:00:00.000Z,2026-09-10,200,USD,completed,Africa/Nairobi,true,orders-0102
SS-O0103,SS-J0103,2026-09-11T12:00:00.000Z,2026-09-11,200,USD,completed,Africa/Nairobi,true,orders-0103
SS-O0104,SS-J0104,2026-09-12T12:00:00.000Z,2026-09-12,200,USD,completed,Africa/Nairobi,true,orders-0104
SS-O0105,SS-J0105,2026-09-13T12:00:00.000Z,2026-09-13,200,USD,completed,Africa/Nairobi,true,orders-0105
SS-O0106,SS-J0106,2026-09-14T12:00:00.000Z,2026-09-14,200,USD,completed,Africa/Nairobi,true,orders-0106
SS-O0107,SS-J0107,2026-09-15T12:00:00.000Z,2026-09-15,200,USD,completed,Africa/Nairobi,true,orders-0107
SS-O0108,SS-J0108,2026-09-16T12:00:00.000Z,2026-09-16,200,USD,completed,Africa/Nairobi,true,orders-0108
SS-O0109,SS-J0109,2026-09-17T12:00:00.000Z,2026-09-17,200,USD,completed,Africa/Nairobi,true,orders-0109
SS-O0110,SS-J0110,2026-09-18T12:00:00.000Z,2026-09-18,200,USD,completed,Africa/Nairobi,true,orders-0110
SS-O0111,SS-J0111,2026-09-19T12:00:00.000Z,2026-09-19,200,USD,completed,Africa/Nairobi,true,orders-0111
SS-O0112,SS-J0112,2026-09-20T12:00:00.000Z,2026-09-20,200,USD,completed,Africa/Nairobi,true,orders-0112
SS-O0113,SS-J0113,2026-08-24T13:00:00.000Z,2026-08-24,200,USD,completed,Africa/Nairobi,true,orders-0113
SS-O0114,SS-J0114,2026-08-25T13:00:00.000Z,2026-08-25,200,USD,completed,Africa/Nairobi,true,orders-0114
SS-O0115,SS-J0115,2026-08-26T13:00:00.000Z,2026-08-26,200,USD,completed,Africa/Nairobi,true,orders-0115
SS-O0116,SS-J0116,2026-08-27T13:00:00.000Z,2026-08-27,200,USD,completed,Africa/Nairobi,true,orders-0116
SS-O0117,SS-J0117,2026-08-28T13:00:00.000Z,2026-08-28,200,USD,completed,Africa/Nairobi,true,orders-0117
SS-O0118,SS-J0118,2026-08-29T13:00:00.000Z,2026-08-29,200,USD,completed,Africa/Nairobi,true,orders-0118
SS-O0119,SS-J0119,2026-08-30T13:00:00.000Z,2026-08-30,200,USD,completed,Africa/Nairobi,true,orders-0119
SS-O0120,SS-J0120,2026-08-31T13:00:00.000Z,2026-08-31,200,USD,completed,Africa/Nairobi,true,orders-0120
SS-O0001,SS-J0001,2026-08-24T09:00:00.000Z,2026-08-24,200,USD,completed,Africa/Nairobi,true,orders-0121
SS-O0032,SS-J0032,2026-08-27T10:00:00.000Z,2026-08-27,200,USD,completed,Africa/Nairobi,true,orders-0122
