touch_id,journey_id,order_id,touch_at,touch_date,channel,campaign_id,interaction,currency,synthetic
SS-T0037,SS-J0019,SS-O0019,2026-09-09T09:00:00.000Z,2026-09-09,Meta Ads,SS-META-01,click,USD,true
SS-T0038,SS-J0019,SS-O0019,2026-09-10T09:00:00.000Z,2026-09-10,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0039,SS-J0020,SS-O0020,2026-09-10T09:00:00.000Z,2026-09-10,Meta Ads,SS-META-01,click,USD,true
SS-T0040,SS-J0020,SS-O0020,2026-09-11T09:00:00.000Z,2026-09-11,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0041,SS-J0021,SS-O0021,2026-09-11T09:00:00.000Z,2026-09-11,Meta Ads,SS-META-01,click,USD,true
SS-T0042,SS-J0021,SS-O0021,2026-09-12T09:00:00.000Z,2026-09-12,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0043,SS-J0022,SS-O0022,2026-09-12T09:00:00.000Z,2026-09-12,Meta Ads,SS-META-01,click,USD,true
SS-T0044,SS-J0022,SS-O0022,2026-09-13T09:00:00.000Z,2026-09-13,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0045,SS-J0023,SS-O0023,2026-09-13T09:00:00.000Z,2026-09-13,Meta Ads,SS-META-01,click,USD,true
SS-T0046,SS-J0023,SS-O0023,2026-09-14T09:00:00.000Z,2026-09-14,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0047,SS-J0024,SS-O0024,2026-09-14T09:00:00.000Z,2026-09-14,Meta Ads,SS-META-01,click,USD,true
SS-T0048,SS-J0024,SS-O0024,2026-09-15T09:00:00.000Z,2026-09-15,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0049,SS-J0025,SS-O0025,2026-09-15T09:00:00.000Z,2026-09-15,Meta Ads,SS-META-01,click,USD,true
SS-T0050,SS-J0025,SS-O0025,2026-09-16T09:00:00.000Z,2026-09-16,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0051,SS-J0026,SS-O0026,2026-09-16T09:00:00.000Z,2026-09-16,Meta Ads,SS-META-01,click,USD,true
SS-T0052,SS-J0026,SS-O0026,2026-09-17T09:00:00.000Z,2026-09-17,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0053,SS-J0027,SS-O0027,2026-09-17T09:00:00.000Z,2026-09-17,Meta Ads,SS-META-01,click,USD,true
SS-T0054,SS-J0027,SS-O0027,2026-09-18T09:00:00.000Z,2026-09-18,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0055,SS-J0028,SS-O0028,2026-09-18T09:00:00.000Z,2026-09-18,Meta Ads,SS-META-01,click,USD,true
SS-T0056,SS-J0028,SS-O0028,2026-09-19T09:00:00.000Z,2026-09-19,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0057,SS-J0029,SS-O0029,2026-08-22T10:00:00.000Z,2026-08-22,Meta Ads,SS-META-01,click,USD,true
SS-T0058,SS-J0029,SS-O0029,2026-08-23T10:00:00.000Z,2026-08-23,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0059,SS-J0030,SS-O0030,2026-08-23T10:00:00.000Z,2026-08-23,Meta Ads,SS-META-01,click,USD,true
SS-T0060,SS-J0030,SS-O0030,2026-08-24T10:00:00.000Z,2026-08-24,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0061,SS-J0031,SS-O0031,2026-08-23T10:00:00.000Z,2026-08-23,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0062,SS-J0031,SS-O0031,2026-08-24T10:00:00.000Z,2026-08-24,Meta Ads,SS-META-01,click,USD,true
SS-T0063,SS-J0031,SS-O0031,2026-08-25T10:00:00.000Z,2026-08-25,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0064,SS-J0032,SS-O0032,2026-08-24T10:00:00.000Z,2026-08-24,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0065,SS-J0032,SS-O0032,2026-08-25T10:00:00.000Z,2026-08-25,Meta Ads,SS-META-01,click,USD,true
SS-T0066,SS-J0032,SS-O0032,2026-08-26T10:00:00.000Z,2026-08-26,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0067,SS-J0033,SS-O0033,2026-08-25T10:00:00.000Z,2026-08-25,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0068,SS-J0033,SS-O0033,2026-08-26T10:00:00.000Z,2026-08-26,Meta Ads,SS-META-01,click,USD,true
SS-T0069,SS-J0033,SS-O0033,2026-08-27T10:00:00.000Z,2026-08-27,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0070,SS-J0034,SS-O0034,2026-08-26T10:00:00.000Z,2026-08-26,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0071,SS-J0034,SS-O0034,2026-08-27T10:00:00.000Z,2026-08-27,Meta Ads,SS-META-01,click,USD,true
SS-T0072,SS-J0034,SS-O0034,2026-08-28T10:00:00.000Z,2026-08-28,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0073,SS-J0035,SS-O0035,2026-08-27T10:00:00.000Z,2026-08-27,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0074,SS-J0035,SS-O0035,2026-08-28T10:00:00.000Z,2026-08-28,Meta Ads,SS-META-01,click,USD,true
SS-T0075,SS-J0035,SS-O0035,2026-08-29T10:00:00.000Z,2026-08-29,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0076,SS-J0036,SS-O0036,2026-08-28T10:00:00.000Z,2026-08-28,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0077,SS-J0036,SS-O0036,2026-08-29T10:00:00.000Z,2026-08-29,Meta Ads,SS-META-01,click,USD,true
SS-T0078,SS-J0036,SS-O0036,2026-08-30T10:00:00.000Z,2026-08-30,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0079,SS-J0037,SS-O0037,2026-08-29T10:00:00.000Z,2026-08-29,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0080,SS-J0037,SS-O0037,2026-08-30T10:00:00.000Z,2026-08-30,Meta Ads,SS-META-01,click,USD,true
SS-T0081,SS-J0037,SS-O0037,2026-08-31T10:00:00.000Z,2026-08-31,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0082,SS-J0038,SS-O0038,2026-08-30T10:00:00.000Z,2026-08-30,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0083,SS-J0038,SS-O0038,2026-08-31T10:00:00.000Z,2026-08-31,Meta Ads,SS-META-01,click,USD,true
SS-T0084,SS-J0038,SS-O0038,2026-09-01T10:00:00.000Z,2026-09-01,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0085,SS-J0039,SS-O0039,2026-08-31T10:00:00.000Z,2026-08-31,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0086,SS-J0039,SS-O0039,2026-09-01T10:00:00.000Z,2026-09-01,Meta Ads,SS-META-01,click,USD,true
SS-T0087,SS-J0039,SS-O0039,2026-09-02T10:00:00.000Z,2026-09-02,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0088,SS-J0040,SS-O0040,2026-09-01T10:00:00.000Z,2026-09-01,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0089,SS-J0040,SS-O0040,2026-09-02T10:00:00.000Z,2026-09-02,Meta Ads,SS-META-01,click,USD,true
SS-T0090,SS-J0040,SS-O0040,2026-09-03T10:00:00.000Z,2026-09-03,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0091,SS-J0041,SS-O0041,2026-09-02T10:00:00.000Z,2026-09-02,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0092,SS-J0041,SS-O0041,2026-09-03T10:00:00.000Z,2026-09-03,Meta Ads,SS-META-01,click,USD,true
SS-T0093,SS-J0041,SS-O0041,2026-09-04T10:00:00.000Z,2026-09-04,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0094,SS-J0042,SS-O0042,2026-09-03T10:00:00.000Z,2026-09-03,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0095,SS-J0042,SS-O0042,2026-09-04T10:00:00.000Z,2026-09-04,Meta Ads,SS-META-01,click,USD,true
SS-T0096,SS-J0042,SS-O0042,2026-09-05T10:00:00.000Z,2026-09-05,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0097,SS-J0043,SS-O0043,2026-09-04T10:00:00.000Z,2026-09-04,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0098,SS-J0043,SS-O0043,2026-09-05T10:00:00.000Z,2026-09-05,Meta Ads,SS-META-01,click,USD,true
SS-T0099,SS-J0043,SS-O0043,2026-09-06T10:00:00.000Z,2026-09-06,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0100,SS-J0044,SS-O0044,2026-09-05T10:00:00.000Z,2026-09-05,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0101,SS-J0044,SS-O0044,2026-09-06T10:00:00.000Z,2026-09-06,Meta Ads,SS-META-01,click,USD,true
SS-T0102,SS-J0044,SS-O0044,2026-09-07T10:00:00.000Z,2026-09-07,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0103,SS-J0045,SS-O0045,2026-09-06T10:00:00.000Z,2026-09-06,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0104,SS-J0045,SS-O0045,2026-09-07T10:00:00.000Z,2026-09-07,Meta Ads,SS-META-01,click,USD,true
SS-T0105,SS-J0045,SS-O0045,2026-09-08T10:00:00.000Z,2026-09-08,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0106,SS-J0046,SS-O0046,2026-09-07T10:00:00.000Z,2026-09-07,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0107,SS-J0046,SS-O0046,2026-09-08T10:00:00.000Z,2026-09-08,Meta Ads,SS-META-01,click,USD,true
SS-T0108,SS-J0046,SS-O0046,2026-09-09T10:00:00.000Z,2026-09-09,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0109,SS-J0047,SS-O0047,2026-09-08T10:00:00.000Z,2026-09-08,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0110,SS-J0047,SS-O0047,2026-09-09T10:00:00.000Z,2026-09-09,Meta Ads,SS-META-01,click,USD,true
SS-T0111,SS-J0047,SS-O0047,2026-09-10T10:00:00.000Z,2026-09-10,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0112,SS-J0048,SS-O0048,2026-09-09T10:00:00.000Z,2026-09-09,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0113,SS-J0048,SS-O0048,2026-09-10T10:00:00.000Z,2026-09-10,Meta Ads,SS-META-01,click,USD,true
SS-T0114,SS-J0048,SS-O0048,2026-09-11T10:00:00.000Z,2026-09-11,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0115,SS-J0049,SS-O0049,2026-09-10T10:00:00.000Z,2026-09-10,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0116,SS-J0049,SS-O0049,2026-09-11T10:00:00.000Z,2026-09-11,Meta Ads,SS-META-01,click,USD,true
SS-T0117,SS-J0049,SS-O0049,2026-09-12T10:00:00.000Z,2026-09-12,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0118,SS-J0050,SS-O0050,2026-09-11T10:00:00.000Z,2026-09-11,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0119,SS-J0050,SS-O0050,2026-09-12T10:00:00.000Z,2026-09-12,Meta Ads,SS-META-01,click,USD,true
SS-T0120,SS-J0050,SS-O0050,2026-09-13T10:00:00.000Z,2026-09-13,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0121,SS-J0051,SS-O0051,2026-09-12T10:00:00.000Z,2026-09-12,Meta Ads,SS-META-01,click,USD,true
SS-T0122,SS-J0051,SS-O0051,2026-09-13T10:00:00.000Z,2026-09-13,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0123,SS-J0051,SS-O0051,2026-09-14T10:00:00.000Z,2026-09-14,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0124,SS-J0052,SS-O0052,2026-09-13T10:00:00.000Z,2026-09-13,Meta Ads,SS-META-01,click,USD,true
SS-T0125,SS-J0052,SS-O0052,2026-09-14T10:00:00.000Z,2026-09-14,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0126,SS-J0052,SS-O0052,2026-09-15T10:00:00.000Z,2026-09-15,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0127,SS-J0053,SS-O0053,2026-09-14T10:00:00.000Z,2026-09-14,Meta Ads,SS-META-01,click,USD,true
SS-T0128,SS-J0053,SS-O0053,2026-09-15T10:00:00.000Z,2026-09-15,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0129,SS-J0053,SS-O0053,2026-09-16T10:00:00.000Z,2026-09-16,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0130,SS-J0054,SS-O0054,2026-09-15T10:00:00.000Z,2026-09-15,Meta Ads,SS-META-01,click,USD,true
SS-T0131,SS-J0054,SS-O0054,2026-09-16T10:00:00.000Z,2026-09-16,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0132,SS-J0054,SS-O0054,2026-09-17T10:00:00.000Z,2026-09-17,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0133,SS-J0055,SS-O0055,2026-09-16T10:00:00.000Z,2026-09-16,Meta Ads,SS-META-01,click,USD,true
SS-T0134,SS-J0055,SS-O0055,2026-09-17T10:00:00.000Z,2026-09-17,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0135,SS-J0055,SS-O0055,2026-09-18T10:00:00.000Z,2026-09-18,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0136,SS-J0056,SS-O0056,2026-09-17T10:00:00.000Z,2026-09-17,Meta Ads,SS-META-01,click,USD,true
SS-T0137,SS-J0056,SS-O0056,2026-09-18T10:00:00.000Z,2026-09-18,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0138,SS-J0056,SS-O0056,2026-09-19T10:00:00.000Z,2026-09-19,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0139,SS-J0057,SS-O0057,2026-08-21T11:00:00.000Z,2026-08-21,Meta Ads,SS-META-01,click,USD,true
SS-T0140,SS-J0057,SS-O0057,2026-08-22T11:00:00.000Z,2026-08-22,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0141,SS-J0057,SS-O0057,2026-08-23T11:00:00.000Z,2026-08-23,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0142,SS-J0058,SS-O0058,2026-08-22T11:00:00.000Z,2026-08-22,Meta Ads,SS-META-01,click,USD,true
SS-T0143,SS-J0058,SS-O0058,2026-08-23T11:00:00.000Z,2026-08-23,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0144,SS-J0058,SS-O0058,2026-08-24T11:00:00.000Z,2026-08-24,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0145,SS-J0059,SS-O0059,2026-08-23T11:00:00.000Z,2026-08-23,Meta Ads,SS-META-01,click,USD,true
SS-T0146,SS-J0059,SS-O0059,2026-08-24T11:00:00.000Z,2026-08-24,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0147,SS-J0059,SS-O0059,2026-08-25T11:00:00.000Z,2026-08-25,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0148,SS-J0060,SS-O0060,2026-08-24T11:00:00.000Z,2026-08-24,Meta Ads,SS-META-01,click,USD,true
SS-T0149,SS-J0060,SS-O0060,2026-08-25T11:00:00.000Z,2026-08-25,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0150,SS-J0060,SS-O0060,2026-08-26T11:00:00.000Z,2026-08-26,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0151,SS-J0061,SS-O0061,2026-08-27T11:00:00.000Z,2026-08-27,Meta Ads,SS-META-01,click,USD,true
SS-T0152,SS-J0062,SS-O0062,2026-08-28T11:00:00.000Z,2026-08-28,Meta Ads,SS-META-01,click,USD,true
SS-T0153,SS-J0063,SS-O0063,2026-08-29T11:00:00.000Z,2026-08-29,Meta Ads,SS-META-01,click,USD,true
SS-T0154,SS-J0064,SS-O0064,2026-08-30T11:00:00.000Z,2026-08-30,Meta Ads,SS-META-01,click,USD,true
SS-T0155,SS-J0065,SS-O0065,2026-08-31T11:00:00.000Z,2026-08-31,Meta Ads,SS-META-01,click,USD,true
SS-T0156,SS-J0066,SS-O0066,2026-09-01T11:00:00.000Z,2026-09-01,Meta Ads,SS-META-01,click,USD,true
SS-T0157,SS-J0067,SS-O0067,2026-09-02T11:00:00.000Z,2026-09-02,Meta Ads,SS-META-01,click,USD,true
SS-T0158,SS-J0068,SS-O0068,2026-09-03T11:00:00.000Z,2026-09-03,Meta Ads,SS-META-01,click,USD,true
SS-T0159,SS-J0069,SS-O0069,2026-09-04T11:00:00.000Z,2026-09-04,Meta Ads,SS-META-01,click,USD,true
SS-T0160,SS-J0070,SS-O0070,2026-09-05T11:00:00.000Z,2026-09-05,Meta Ads,SS-META-01,click,USD,true
SS-T0161,SS-J0071,SS-O0071,2026-09-06T11:00:00.000Z,2026-09-06,Meta Ads,SS-META-01,click,USD,true
SS-T0162,SS-J0072,SS-O0072,2026-09-07T11:00:00.000Z,2026-09-07,Meta Ads,SS-META-01,click,USD,true
SS-T0163,SS-J0073,SS-O0073,2026-09-08T11:00:00.000Z,2026-09-08,Meta Ads,SS-META-01,click,USD,true
SS-T0164,SS-J0074,SS-O0074,2026-09-09T11:00:00.000Z,2026-09-09,Meta Ads,SS-META-01,click,USD,true
SS-T0165,SS-J0075,SS-O0075,2026-09-10T11:00:00.000Z,2026-09-10,Meta Ads,SS-META-01,click,USD,true
SS-T0166,SS-J0076,SS-O0076,2026-09-11T11:00:00.000Z,2026-09-11,Meta Ads,SS-META-01,click,USD,true
SS-T0167,SS-J0077,SS-O0077,2026-09-12T11:00:00.000Z,2026-09-12,Meta Ads,SS-META-01,click,USD,true
SS-T0168,SS-J0078,SS-O0078,2026-09-13T11:00:00.000Z,2026-09-13,Meta Ads,SS-META-01,click,USD,true
SS-T0169,SS-J0079,SS-O0079,2026-09-14T11:00:00.000Z,2026-09-14,Meta Ads,SS-META-01,click,USD,true
SS-T0170,SS-J0080,SS-O0080,2026-09-15T11:00:00.000Z,2026-09-15,Meta Ads,SS-META-01,click,USD,true
SS-T0171,SS-J0081,SS-O0081,2026-09-16T11:00:00.000Z,2026-09-16,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0172,SS-J0082,SS-O0082,2026-09-17T11:00:00.000Z,2026-09-17,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0173,SS-J0083,SS-O0083,2026-09-18T11:00:00.000Z,2026-09-18,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0174,SS-J0084,SS-O0084,2026-09-19T11:00:00.000Z,2026-09-19,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0175,SS-J0085,SS-O0085,2026-08-23T12:00:00.000Z,2026-08-23,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0176,SS-J0086,SS-O0086,2026-08-24T12:00:00.000Z,2026-08-24,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0177,SS-J0087,SS-O0087,2026-08-25T12:00:00.000Z,2026-08-25,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0178,SS-J0088,SS-O0088,2026-08-26T12:00:00.000Z,2026-08-26,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0179,SS-J0089,SS-O0089,2026-08-27T12:00:00.000Z,2026-08-27,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0180,SS-J0090,SS-O0090,2026-08-28T12:00:00.000Z,2026-08-28,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0181,SS-J0091,SS-O0091,2026-08-29T12:00:00.000Z,2026-08-29,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0182,SS-J0092,SS-O0092,2026-08-30T12:00:00.000Z,2026-08-30,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0183,SS-J0093,SS-O0093,2026-08-31T12:00:00.000Z,2026-08-31,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0184,SS-J0094,SS-O0094,2026-09-01T12:00:00.000Z,2026-09-01,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0185,SS-J0095,SS-O0095,2026-09-02T12:00:00.000Z,2026-09-02,Google Ads,SS-GOOGLE-01,click,USD,true
SS-T0186,SS-J0096,SS-O0096,2026-09-03T12:00:00.000Z,2026-09-03,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0187,SS-J0097,SS-O0097,2026-09-04T12:00:00.000Z,2026-09-04,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0188,SS-J0098,SS-O0098,2026-09-05T12:00:00.000Z,2026-09-05,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0189,SS-J0099,SS-O0099,2026-09-06T12:00:00.000Z,2026-09-06,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0190,SS-J0100,SS-O0100,2026-09-07T12:00:00.000Z,2026-09-07,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0191,SS-J0101,SS-O0101,2026-09-08T12:00:00.000Z,2026-09-08,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0192,SS-J0102,SS-O0102,2026-09-09T12:00:00.000Z,2026-09-09,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0193,SS-J0103,SS-O0103,2026-09-10T12:00:00.000Z,2026-09-10,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0194,SS-J0104,SS-O0104,2026-09-11T12:00:00.000Z,2026-09-11,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0195,SS-J0105,SS-O0105,2026-09-12T12:00:00.000Z,2026-09-12,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0196,SS-J0106,SS-O0106,2026-09-13T12:00:00.000Z,2026-09-13,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0197,SS-J0107,SS-O0107,2026-09-14T12:00:00.000Z,2026-09-14,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0198,SS-J0108,SS-O0108,2026-09-15T12:00:00.000Z,2026-09-15,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0199,SS-J0109,SS-O0109,2026-09-16T12:00:00.000Z,2026-09-16,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0200,SS-J0110,SS-O0110,2026-09-17T12:00:00.000Z,2026-09-17,TikTok Ads,SS-TIKTOK-01,click,USD,true
SS-T0201,SS-J0111,SS-O0111,2026-09-18T12:00:00.000Z,2026-09-18,Direct,DIRECT,click,USD,true
SS-T0202,SS-J0112,SS-O0112,2026-09-19T12:00:00.000Z,2026-09-19,Direct,DIRECT,click,USD,true
